team,color_primary,color_secondary
Air Force,,
Akron,,
Alabama,#9E1B32,#828A8F
App State,,
Arizona,#CC0033,#003366
Arizona State,#8C1D40,#FFC627
Arkansas,#9D2235,#FFFFFF
Arkansas (Little Rock),,
Arkansas State,,
Army,,
Auburn,#0C2340,#E87722
BYU,,
Ball State,,
Baylor,#003015,#FECB00
Boise State,,
Boston College,#98002E,#BC9B6A
Bowling Green,,
Buffalo,,
California,#003262,#FDB515
Central Michigan,,
Cincinnati,,
Clemson,#F56600,#522D80
Coastal Carolina,,
Colorado,#CFB87C,#000000
Colorado State,,
Duke,#003087,#FFFFFF
ECU,,
Eastern Michigan,,
FAU,,
FIU,,
Florida,#0021A5,#FA4616
Florida State,#782F40,#CEB888
Fresno State,,
Georgia,#BA0C2F,#000000
Georgia Southern,,
Georgia State,,
Georgia Tech,#B3A369,#003057
Houston,,
Illinois,#13294B,#E84A27
Indiana,#990000,#EEEDEB
Iowa,#FFCD00,#000000
Iowa State,#C8102E,#F1BE48
Kansas,#0051BA,#FFC82D
Kansas State,#512888,#D1D1D1
Kent State,,
Kentucky,#0033A0,#000000
LSU,#461D7C,#FDD023
Liberty,,
Louisiana Tech,,
Louisiana-Lafayette,,
Louisiana-Monroe,,
Louisville,#AD0000,#000000
Marshall,,
Maryland,#E03A3E,#FFD520
Memphis,,
Miami,#F47321,#005030
Miami (OH),,
Michigan,#00274C,#FFCB05
Michigan State,#18453B,#FFFFFF
Middle Tennessee State,,
Minnesota,#7A0019,#FFCC33
Mississippi State,#660000,#FFFFFF
Missouri,#000000,#F1B82D
NC State,#CC0000,#000000
Nebraska,#E41C38,#FFFFFF
Nevada,,
New Mexico,,
New Mexico State,,
North Carolina,#7BAFD4,#FFFFFF
Northern Illinois,,
Northwestern,#4E2A84,#FFFFFF
Notre Dame,#0C2340,#C99700
Ohio,,
Ohio State,#BB0000,#666666
Oklahoma,#841617,#FDF9D8
Oklahoma State,#FF7300,#000000
Old Dominion,,
Ole Miss,#CE1126,#14213D
Oregon,#154733,#FEE123
Oregon State,#DC4405,#000000
Penn State,#041E42,#FFFFFF
Pittsburgh,#003594,#FFB81C
Purdue,#CEB888,#000000
Rice,,
Rutgers,#CC0033,#5F6A72
SMU,,
San Diego State,,
San Jose State,,
South Alabama,,
South Carolina,#73000A,#000000
Southern Miss,,
Stanford,#8C1515,#4D4F53
Syracuse,#D44500,#3E3D3C
TCU,#4D1979,#FFFFFF
Temple,,
Tennessee,#FF8200,#58595B
Texas,#BF5700,#FFFFFF
Texas A&M,#500000,#FFFFFF
Texas State,,
Texas Tech,#CC0000,#000000
Toledo,,
Troy,,
Tulane,,
Tulsa,,
UAB,,
UCF,,
UCLA,#2D68C4,#F2A900
UNC-Charlotte,,
UNLV,,
UNT,,
USC,#990000,#FFC72C
USF,,
UT Arlington,,
UTEP,,
UTSA,,
Uconn,,
Utah,#CC0000,#808080
Utah State,,
Vanderbilt,#000000,#866D4B
Virginia,#232D4B,#F84C1E
Virginia Tech,#630031,#CF4420
Wake Forest,#9E7E38,#000000
Washington,#4B2E83,#B7A57A
Washington State,#981E32,#5E6A71
West Virginia,#002855,#EAAA00
Western Kentucky,,
Western Michigan,,
Wichita State,,
Wisconsin,#C5050C,#9B0000
Wyoming,,
